name,place_id,url,website,email,phone,overview,full_address,street,city,state,zipcode,latitude,longitude,status,services,treatment_setting,ages_served,languages,insurance,rating,reviews,type,error_message
Onward and Upward Speech Therpy,Onward and Upward Speech Therpy,(856) 498-3297,,,856) 498-3297,Speech pathologist,,,,,,,,❌ Error - no data,,,,,,Onward and Upward Speech Therpy,Speech pathologist,,No address or coordinates found
Empower AAC LLC,Empower AAC LLC,(856) 441-2300,http://www.empoweraac.com/,,856) 441-2300,Speech pathologist,,,,,,,,❌ Error - no data,,,,,,Empower AAC LLC,Speech pathologist,,No address or coordinates found
Elevate Health & Therapeutic Services,"1015 Briggs Rd Ste 150, Mt Laurel Township, NJ 08054",(856) 492-1355,http://www.elevatehealthnj.com/,,856) 492-1355,Speech pathologist,"1015 Briggs Rd Ste 150, Mt Laurel Township, NJ 08054",1015 Briggs Rd Ste 150,Mt Laurel Township,NJ,08054,39.9726,-74.900596,🆕 Newly geocoded,,,,,,Elevate Health & Therapeutic Services,Speech pathologist,,
Speaking Diligence,"407 S 10th St #105, Philadelphia, PA 19147",(267) 225-2636,,,267) 225-2636,Speech pathologist,"407 S 10th St #105, Philadelphia, PA 19147",407 S 10th St #105,Philadelphia,PA,19147,39.944388,-75.158135,🆕 Newly geocoded,,,,,,Speaking Diligence,Speech pathologist,,
"TalkEatPlayGrow, LLC","TalkEatPlayGrow, LLC",(484) 205-9374,https://www.talkeatplaygrow.com/,,484) 205-9374,Speech pathologist,,,,,,,,❌ Error - no data,,,,,,"TalkEatPlayGrow, LLC",Speech pathologist,,No address or coordinates found
"Silver Lining Speech Pathology, LLC","Silver Lining Speech Pathology, LLC",(856) 983-9298,,,856) 983-9298,Speech pathologist,,,,,,,,❌ Error - no data,,,,,,"Silver Lining Speech Pathology, LLC",Speech pathologist,,No address or coordinates found
Better Speech - Best Online Speech Therapy,Better Speech - Best Online Speech Therapy,(919) 589-7941,https://www.betterspeech.com/,,919) 589-7941,Speech pathologist,,,,,,,,❌ Error - no data,,,,,,Better Speech - Best Online Speech Therapy,Speech pathologist,,No address or coordinates found
Kidmunicate Pediatric Speech Therapy,"487 Devon Park Dr Suite 214, Wayne, PA 19087",(484) 367-7131,http://kidmunicate.com/wayne_pa,,484) 367-7131,Speech pathologist,"487 Devon Park Dr Suite 214, Wayne, PA 19087",487 Devon Park Dr Suite 214,Wayne,PA,19087,40.07601,-75.413711,🆕 Newly geocoded,,,,,,Kidmunicate Pediatric Speech Therapy,Speech pathologist,,
Inventive SLP | Speech-Language & Literacy Therapy,"7312 Malvern Ave, Philadelphia, PA 19151",(856) 431-4579,https://inventiveslp.com/,,856) 431-4579,Speech pathologist,"7312 Malvern Ave, Philadelphia, PA 19151",7312 Malvern Ave,Philadelphia,PA,19151,39.9767,-75.26178,🆕 Newly geocoded,,,,,,Inventive SLP | Speech-Language & Literacy Therapy,Speech pathologist,,
AXIS Teletherapy,AXIS Teletherapy,(888) 882-1439,https://www.axisteletherapy.com/,,888) 882-1439,Speech pathologist,,,,,,,,❌ Error - no data,,,,,,AXIS Teletherapy,Speech pathologist,,No address or coordinates found
Boxley Speech Therapy,Boxley Speech Therapy,(856) 209-2347,,,856) 209-2347,Speech pathologist,,,,,,,,❌ Error - no data,,,,,,Boxley Speech Therapy,Speech pathologist,,No address or coordinates found
MJ KIDZ,"751 NJ-73 Suite 1, Marlton, NJ 08053",(856) 375-2914,http://www.mjkidz.com/,,856) 375-2914,Mental health clinic,"751 NJ-73 Suite 1, Marlton, NJ 08053",751 NJ-73 Suite 1,Marlton,NJ,08053,39.866319,-74.922984,🆕 Newly geocoded,,,,,,MJ KIDZ,Mental health clinic,,
On The Spot Therapy Center,"2300 US-9, Cape May Court House, NJ 08210",(609) 545-0500,http://www.onthespottherapycenter.com/,,609) 545-0500,Occupational therapist,"2300 US-9, Cape May Court House, NJ 08210",2300 US-9,Cape May Court House,NJ,08210,39.166672,-74.74435,🆕 Newly geocoded,,,,,,On The Spot Therapy Center,Occupational therapist,,
Ivy Rehab for Kids,"451 W Ridge Pike Suite 479, Limerick, PA 19468",(484) 369-8953,https://ivyrehab.com/physical-therapy-location/limerick-kids-pa/?utm_source=GMB&utm_medium=organic&utm_campaign=google-business,,484) 369-8953,Speech pathologist,"451 W Ridge Pike Suite 479, Limerick, PA 19468",451 W Ridge Pike Suite 479,Limerick,PA,19468,40.232361,-75.528384,🆕 Newly geocoded,,,,,,Ivy Rehab for Kids,Speech pathologist,,
Schie Health,"5701 Cleveland St Suite 150, Virginia Beach, VA 23462",(757) 401-4435,https://schiehealth.com/,,757) 401-4435,Speech pathologist,"5701 Cleveland St Suite 150, Virginia Beach, VA 23462",5701 Cleveland St Suite 150,Virginia Beach,VA,23462,36.846871,-76.177126,🆕 Newly geocoded,,,,,,Schie Health,Speech pathologist,,
Strong Roots Occupational Therapy,Strong Roots Occupational Therapy,(609) 451-6898,https://www.strongrootsot.com/,,609) 451-6898,Occupational therapist,,,,,,,,❌ Error - no data,,,,,,Strong Roots Occupational Therapy,Occupational therapist,,No address or coordinates found
Goldstar Rehabilitation: Speech Therapy In Philadelphia,"822 Montgomery Ave #306, Narberth, PA 19072",(215) 220-2210,https://www.goldstarrehab.com/speech-therapy-philadelphia,,215) 220-2210,Speech pathologist,"822 Montgomery Ave #306, Narberth, PA 19072",822 Montgomery Ave #306,Narberth,PA,19072,40.010464,-75.258254,🆕 Newly geocoded,,,,,,Goldstar Rehabilitation: Speech Therapy In Philadelphia,Speech pathologist,,
Raise Your Voice Speech Pathology Services,"72 High St, Mt Holly, NJ 08060",(609) 922-2252,http://raiseyourvoicespeech.com/,,609) 922-2252,Speech pathologist,"72 High St, Mt Holly, NJ 08060",72 High St,Mt Holly,NJ,08060,39.994811,-74.788013,🆕 Newly geocoded,,,,,,Raise Your Voice Speech Pathology Services,Speech pathologist,,
The Child-Led Therapy Center,"261 Old York Rd Suite 517A, Jenkintown, PA 19046",(267) 405-5983,https://www.childledtherapycenter.com/,,267) 405-5983,Speech pathologist,"261 Old York Rd Suite 517A, Jenkintown, PA 19046",261 Old York Rd Suite 517A,Jenkintown,PA,19046,40.090289,-75.124498,🆕 Newly geocoded,,,,,,The Child-Led Therapy Center,Speech pathologist,,
"Expansion Speech Therapy, LLC","550 Pinetown Rd Suite 260, Fort Washington, PA 19034",(445) 236-0134,https://expansionspeechtherapy.com/,,445) 236-0134,Speech pathologist,"550 Pinetown Rd Suite 260, Fort Washington, PA 19034",550 Pinetown Rd Suite 260,Fort Washington,PA,19034,40.141085,-75.194713,🆕 Newly geocoded,,,,,,"Expansion Speech Therapy, LLC",Speech pathologist,,
Wee Speak,"708 N Shady Retreat Rd STE 8, Doylestown, PA 18901",(215) 620-7121,http://www.weespeaknow.com/,,215) 620-7121,Pediatric clinic,"708 N Shady Retreat Rd STE 8, Doylestown, PA 18901",708 N Shady Retreat Rd STE 8,Doylestown,PA,18901,40.305828,-75.143253,🆕 Newly geocoded,,,,,,Wee Speak,Pediatric clinic,,
"Your Speech Path, LLC","768 N Bethlehem Pike # 301, Lower Gwynedd Township, PA 19002",(267) 652-0108,http://www.yourspeechpathllc.com/,,267) 652-0108,Specialized clinic,"768 N Bethlehem Pike # 301, Lower Gwynedd Township, PA 19002",768 N Bethlehem Pike # 301,Lower Gwynedd Township,PA,19002,40.17843,-75.22443,🆕 Newly geocoded,,,,,,"Your Speech Path, LLC",Specialized clinic,,
Milestone Therapy Group,"301 City Ave Suite 110, Bala Cynwyd, PA 19004",(610) 628-0249,https://milestonetherapygroup.com/?y_source=1_NjEzMTQzMTgtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,,610) 628-0249,Speech pathologist,"301 City Ave Suite 110, Bala Cynwyd, PA 19004",301 City Ave Suite 110,Bala Cynwyd,PA,19004,40.005675,-75.218242,🆕 Newly geocoded,,,,,,Milestone Therapy Group,Speech pathologist,,
Ivy Rehab for Kids,"1608 Walnut St 2nd Floor, Philadelphia, PA 19103",(267) 319-7588,https://ivyrehab.com/physical-therapy-location/centercitypakids/?utm_source=GMB&utm_medium=organic&utm_campaign=google-business,,267) 319-7588,Speech pathologist,"1608 Walnut St 2nd Floor, Philadelphia, PA 19103",1608 Walnut St 2nd Floor,Philadelphia,PA,19103,39.949589,-75.168119,🆕 Newly geocoded,,,,,,Ivy Rehab for Kids,Speech pathologist,,
SpeakEasy Therapy LLC.,"290 Andrews Rd Suite 106, Trevose, PA 19053",(267) 991-0190,https://www.speakeasytherapy.org/,,267) 991-0190,Speech pathologist,"290 Andrews Rd Suite 106, Trevose, PA 19053",290 Andrews Rd Suite 106,Trevose,PA,19053,40.156168,-74.978697,🆕 Newly geocoded,,,,,,SpeakEasy Therapy LLC.,Speech pathologist,,
Ivy Rehab for Kids,"1180 Welsh Rd Suite 150, North Wales, PA 19454",(267) 551-3590,https://ivyrehab.com/physical-therapy-location/north-wales-pa-kids/?utm_source=GMB&utm_medium=organic&utm_campaign=google-business,,267) 551-3590,Speech pathologist,"1180 Welsh Rd Suite 150, North Wales, PA 19454",1180 Welsh Rd Suite 150,North Wales,PA,19454,40.225817,-75.258314,🆕 Newly geocoded,,,,,,Ivy Rehab for Kids,Speech pathologist,,
"Jill Feldbaum, SLP","8100 Roosevelt Blvd #101B, Philadelphia, PA 19152",(215) 535-1314,http://www.phillyspeechtherapy.com/,,215) 535-1314,Speech pathologist,"8100 Roosevelt Blvd #101B, Philadelphia, PA 19152",8100 Roosevelt Blvd #101B,Philadelphia,PA,19152,40.058412,-75.046063,🆕 Newly geocoded,,,,,,"Jill Feldbaum, SLP",Speech pathologist,,
Brown Bear Speech & Language Therapy,"236 Berkeley Rd, Glenside, PA 19038",(503) 805-7670,http://brownbearspeech.com/,,503) 805-7670,Speech pathologist,"236 Berkeley Rd, Glenside, PA 19038",236 Berkeley Rd,Glenside,PA,19038,40.10039,-75.161459,🆕 Newly geocoded,,,,,,Brown Bear Speech & Language Therapy,Speech pathologist,,
Great Start Therapy Associates,"295 Buck Rd, Holland, PA 18966",(215) 485-5018,http://greatstarttherapy.com/contact,,215) 485-5018,Speech pathologist,"295 Buck Rd, Holland, PA 18966",295 Buck Rd,Holland,PA,18966,40.174793,-74.984603,🆕 Newly geocoded,,,,,,Great Start Therapy Associates,Speech pathologist,,
Speech Success Academy,"875A N Easton Rd, Glenside, PA 19038",(267) 818-4200,https://speechsuccessacademy.com/,,267) 818-4200,Speech pathologist,"875A N Easton Rd, Glenside, PA 19038",875A N Easton Rd,Glenside,PA,19038,40.116175,-75.137825,🆕 Newly geocoded,,,,,,Speech Success Academy,Speech pathologist,,
Kidmunicate Pediatric Speech Therapy,"589 Skippack Pike Suite 301, Blue Bell, PA 19422",(484) 367-7131,https://kidmunicate.com/blue_bell/,,484) 367-7131,Speech pathologist,"589 Skippack Pike Suite 301, Blue Bell, PA 19422",589 Skippack Pike Suite 301,Blue Bell,PA,19422,40.15271,-75.264624,🆕 Newly geocoded,,,,,,Kidmunicate Pediatric Speech Therapy,Speech pathologist,,
Therapy Central LLC,"822 Montgomery Ave #306, Narberth, PA 19072",(610) 747-0600,http://therapycentralpa.com/,,610) 747-0600,Speech pathologist,"822 Montgomery Ave #306, Narberth, PA 19072",822 Montgomery Ave #306,Narberth,PA,19072,40.010464,-75.258254,🆕 Newly geocoded,,,,,,Therapy Central LLC,Speech pathologist,,
Speech Baby,"525 S 4th St Ste 247, Philadelphia, PA 19147",(223) 203-1674,https://phillyspeechbaby.com/,,223) 203-1674,Speech pathologist,"525 S 4th St Ste 247, Philadelphia, PA 19147",525 S 4th St Ste 247,Philadelphia,PA,19147,39.941883,-75.148921,🆕 Newly geocoded,,,,,,Speech Baby,Speech pathologist,,
Small Talk Therapeutic Services,"3502 Scotts Ln Suite 405, Philadelphia, PA 19129",(267) 579-2180,https://www.smalltalktherapeutics.com/,,267) 579-2180,Speech pathologist,"3502 Scotts Ln Suite 405, Philadelphia, PA 19129",3502 Scotts Ln Suite 405,Philadelphia,PA,19129,40.007894,-75.186066,🆕 Newly geocoded,,,,,,Small Talk Therapeutic Services,Speech pathologist,,
"Speech Pathology Solutions, LLC","1064 S Main St #2c, West Creek, NJ 08092",(609) 488-2650,http://www.speechpathologysolutions.com/,,609) 488-2650,Speech pathologist,"1064 S Main St #2c, West Creek, NJ 08092",1064 S Main St #2c,West Creek,NJ,08092,39.671182,-74.280568,🆕 Newly geocoded,,,,,,"Speech Pathology Solutions, LLC",Speech pathologist,,
Blue Bell Speech Therapy,"1999 Township Line Rd, Blue Bell, PA 19422",(610) 741-4077,https://bluebellspeechtherapy.com/,,610) 741-4077,Speech pathologist,"1999 Township Line Rd, Blue Bell, PA 19422",1999 Township Line Rd,Blue Bell,PA,19422,40.15965,-75.3264,🆕 Newly geocoded,,,,,,Blue Bell Speech Therapy,Speech pathologist,,
Chicago Speech Therapy,"1422 W Willow St, Chicago, IL 60642",(312) 399-0370,https://chicagospeechtherapy.com/,,312) 399-0370,Speech pathologist,"1422 W Willow St, Chicago, IL 60642",1422 W Willow St,Chicago,IL,60642,41.914568,-87.662828,🆕 Newly geocoded,,,,,,Chicago Speech Therapy,Speech pathologist,,
Advanced Therapy & Wellness Center,"16009 Executive Dr, Crest Hill, IL 60403",(815) 782-4196,http://www.mytherapywellness.com/,,815) 782-4196,Speech pathologist,"16009 Executive Dr, Crest Hill, IL 60403",16009 Executive Dr,Crest Hill,IL,16009,41.59427,-88.118347,🆕 Newly geocoded,,,,,,Advanced Therapy & Wellness Center,Speech pathologist,,
"Soy Bilingual Speech Therapy, LLC","6912 Cermak Rd, Berwyn, IL 60402",(708) 813-9062,https://www.soybilingual.com/,,708) 813-9062,Speech pathologist,"6912 Cermak Rd, Berwyn, IL 60402",6912 Cermak Rd,Berwyn,IL,60402,41.85077,-87.796488,🆕 Newly geocoded,,,,,,"Soy Bilingual Speech Therapy, LLC",Speech pathologist,,
"Talk Toomey Speech Pathology Services, LLC","429 N Marion St #201, Oak Park, IL 60302",(312) 945-8305,http://www.talktoomeyspeech.com/,,312) 945-8305,Speech pathologist,"429 N Marion St #201, Oak Park, IL 60302",429 N Marion St #201,Oak Park,IL,60302,41.894081,-87.803011,🆕 Newly geocoded,,,,,,"Talk Toomey Speech Pathology Services, LLC",Speech pathologist,,
Illinois Speech Therapy,"155 N Michigan Ave Suite 208, Chicago, IL 60601",(312) 600-3790,https://www.communicationcarecenter.com/,,312) 600-3790,Speech pathologist,"155 N Michigan Ave Suite 208, Chicago, IL 60601",155 N Michigan Ave Suite 208,Chicago,IL,60601,41.885296,-87.624108,🆕 Newly geocoded,,,,,,Illinois Speech Therapy,Speech pathologist,,
Palabras Speech Therapy LLC,"4809 N Ravenswood Ave, Chicago, IL 60640",(773) 717-3015,https://www.palabrasspeechtherapy.com/,,773) 717-3015,Speech pathologist,"4809 N Ravenswood Ave, Chicago, IL 60640",4809 N Ravenswood Ave,Chicago,IL,60640,41.969532,-87.673815,🆕 Newly geocoded,,,,,,Palabras Speech Therapy LLC,Speech pathologist,,
Functional Pediatric Therapy Co. DBA Functional Speech Therapy,"930 IL-22, Fox River Grove, IL 60021",(224) 219-1924,http://functionalspeechtherapy.com/,,224) 219-1924,Speech pathologist,"930 IL-22, Fox River Grove, IL 60021",930 IL-22,Fox River Grove,IL,60021,42.19455,-88.208,🆕 Newly geocoded,,,,,,Functional Pediatric Therapy Co. DBA Functional Speech Therapy,Speech pathologist,,
Dempster Therapeutic Services® Bilingual Speech Therapy,"1463 Mercury Dr, Schaumburg, IL 60193",(847) 999-3990,https://slp-d.com/,,847) 999-3990,Speech pathologist,"1463 Mercury Dr, Schaumburg, IL 60193",1463 Mercury Dr,Schaumburg,IL,60193,41.998625,-88.12487,🆕 Newly geocoded,,,,,,Dempster Therapeutic Services® Bilingual Speech Therapy,Speech pathologist,,
"Midwest Speech Therapy, PC; DBA: Midwest Pediatric Therapy","473 W Army Trail Rd #107, Bloomingdale, IL 60108",(224) 520-8562,http://www.midwestpediatrictherapy.com/,,224) 520-8562,Speech pathologist,"473 W Army Trail Rd #107, Bloomingdale, IL 60108",473 W Army Trail Rd #107,Bloomingdale,IL,60108,41.940486,-88.122857,🆕 Newly geocoded,,,,,,"Midwest Speech Therapy, PC; DBA: Midwest Pediatric Therapy",Speech pathologist,,
"Green Light Feeding, Language, and Speech","770 Lake Cook Rd, Deerfield, IL 60015",(224) 707-1572,http://www.greenlightspeechtherapy.com/,,224) 707-1572,Speech pathologist,"770 Lake Cook Rd, Deerfield, IL 60015",770 Lake Cook Rd,Deerfield,IL,60015,42.15334,-87.846284,🆕 Newly geocoded,,,,,,"Green Light Feeding, Language, and Speech",Speech pathologist,,
Crossroads Speech and Occupational Therapy,"2833 N Clybourn Ave, Chicago, IL 60618",(847) 604-0027,http://www.crossroadsspeechtherapy.com/,,847) 604-0027,Occupational therapist,"2833 N Clybourn Ave, Chicago, IL 60618",2833 N Clybourn Ave,Chicago,IL,60618,41.933194,-87.679038,🆕 Newly geocoded,,,,,,Crossroads Speech and Occupational Therapy,Occupational therapist,,
Háblame Speech Therapy,"3442 Oak Park Ave, Berwyn, IL 60402",(773) 937-5011,https://www.hablamespeechtherapy.com/,,773) 937-5011,Speech pathologist,"3442 Oak Park Ave, Berwyn, IL 60402",3442 Oak Park Ave,Berwyn,IL,60402,41.828875,-87.793024,🆕 Newly geocoded,,,,,,Háblame Speech Therapy,Speech pathologist,,
Andrzej Lewandowski Speech Therapist Polskojęzyczny Logopeda w Chicago®,"9950 Lawrence Ave, Schiller Park, IL 60176",(847) 209-2664,http://polskilogopeda.link/,,847) 209-2664,Speech pathologist,"9950 Lawrence Ave, Schiller Park, IL 60176",9950 Lawrence Ave,Schiller Park,IL,60176,41.965944,-87.875261,🆕 Newly geocoded,,,,,,Andrzej Lewandowski Speech Therapist Polskojęzyczny Logopeda w Chicago®,Speech pathologist,,
Ivy Rehab for Kids,"2103 Veterans Pkwy, Bloomington, IL 61704",(309) 948-6469,https://ivyrehab.com/physical-therapy-location/bloomington-kids/?utm_source=GMB&utm_medium=organic&utm_campaign=google-business,,309) 948-6469,Speech pathologist,"2103 Veterans Pkwy, Bloomington, IL 61704",2103 Veterans Pkwy,Bloomington,IL,61704,40.508632,-88.95039,🆕 Newly geocoded,,,,,,Ivy Rehab for Kids,Speech pathologist,,
"Wee Speech, P.C.","8707 Skokie Blvd Suite 402, Skokie, IL 60077",(847) 329-8226,http://www.weespeech.com/,,847) 329-8226,Speech pathologist,"8707 Skokie Blvd Suite 402, Skokie, IL 60077",8707 Skokie Blvd Suite 402,Skokie,IL,60077,42.039021,-87.746734,🆕 Newly geocoded,,,,,,"Wee Speech, P.C.",Speech pathologist,,
"Social Butterfly, Inc. (Pediatric & Adult Communication Therapy)","24W500 Maple Ave Suite 204, Naperville, IL 60540",(630) 381-8307,http://www.sbspeechtherapy.com/,,630) 381-8307,Speech pathologist,"24W500 Maple Ave Suite 204, Naperville, IL 60540",24W500 Maple Ave Suite 204,Naperville,IL,60540,41.781385,-88.102961,🆕 Newly geocoded,,,,,,"Social Butterfly, Inc. (Pediatric & Adult Communication Therapy)",Speech pathologist,,
SpeechEase pllc Pediatric Speech & Language Therapy,"973 Walnut Ridge Ct N, Frankfort, IL 60423",(815) 240-9500,http://www.speecheasekids.com/,,815) 240-9500,Speech pathologist,"973 Walnut Ridge Ct N, Frankfort, IL 60423",973 Walnut Ridge Ct N,Frankfort,IL,60423,41.50737,-87.87478,🆕 Newly geocoded,,,,,,SpeechEase pllc Pediatric Speech & Language Therapy,Speech pathologist,,
Westside Children's Therapy,"16086 S Harlem Ave, Tinley Park, IL 60477",(708) 358-7239,https://westsidechildrenstherapy.com/locations/tinley-park/,,708) 358-7239,Speech pathologist,"16086 S Harlem Ave, Tinley Park, IL 60477",16086 S Harlem Ave,Tinley Park,IL,16086,41.599026,-87.795396,🆕 Newly geocoded,,,,,,Westside Children's Therapy,Speech pathologist,,
Pioneer Therapy,"2232 N Clybourn Ave 3rd Level, Chicago, IL 60614",(773) 923-3509,https://thevalensgroup.com/,,773) 923-3509,Speech pathologist,"2232 N Clybourn Ave 3rd Level, Chicago, IL 60614",2232 N Clybourn Ave 3rd Level,Chicago,IL,60614,41.922293,-87.665826,🆕 Newly geocoded,,,,,,Pioneer Therapy,Speech pathologist,,
"Lighthouse Speech Therapy, PLLC","203 W Main St, Rockton, IL 61072",(815) 200-9558,http://www.lighthouseslp.com/,,815) 200-9558,Speech pathologist,"203 W Main St, Rockton, IL 61072",203 W Main St,Rockton,IL,61072,42.452756,-89.074145,🆕 Newly geocoded,,,,,,"Lighthouse Speech Therapy, PLLC",Speech pathologist,,
"Asheville Speech - Janet Bennett, M.Ed.","Asheville Speech - Janet Bennett, M.Ed.",(828) 285-8814,https://ashevillespeech.com/,,828) 285-8814,Speech pathologist,,,,,,,,❌ Error - no data,,,,,,"Asheville Speech - Janet Bennett, M.Ed.",Speech pathologist,,No address or coordinates found
We Speak Speech Therapy,"872 Heritage Park Blvd suite 110, Layton, UT 84041",(801) 689-7459,http://www.wespeakspeechtherapy.com/,,801) 689-7459,Speech pathologist,"872 Heritage Park Blvd suite 110, Layton, UT 84041",872 Heritage Park Blvd suite 110,Layton,UT,84041,41.08416,-111.98185,🆕 Newly geocoded,,,,,,We Speak Speech Therapy,Speech pathologist,,
Heritage Speech Therapy,Heritage Speech Therapy,(202) 594-9321,http://www.heritageslp.com/,,202) 594-9321,Speech pathologist,,,,,,,,❌ Error - no data,,,,,,Heritage Speech Therapy,Speech pathologist,,No address or coordinates found
Peake Speech Therapy & Consulting,Peake Speech Therapy & Consulting,(240) 702-3251,https://www.peakespeechtherapy.com/,,240) 702-3251,Speech pathologist,,,,,,,,❌ Error - no data,,,,,,Peake Speech Therapy & Consulting,Speech pathologist,,No address or coordinates found
A Mile High Speech Therapy,"2851 S Parker Rd #1-0660, Aurora, CO 80014",(720) 810-2816,http://amilehighspeechtherapy.com/,,720) 810-2816,Speech pathologist,"2851 S Parker Rd #1-0660, Aurora, CO 80014",2851 S Parker Rd #1-0660,Aurora,CO,80014,39.66442,-104.861183,🆕 Newly geocoded,,,,,,A Mile High Speech Therapy,Speech pathologist,,
Starwalkers,Starwalkers,+91 96536 77564,http://starwalkersclinic.com/,,+91 96536 77564,Speech pathologist,,,,,,,,❌ Error - no data,,,,,,Starwalkers,Speech pathologist,,No address or coordinates found
Summit Speech Therapy,"1410 N Hill Field Rd #3, Layton, UT 84041",(385) 275-0492,http://www.summitslp.com/,,385) 275-0492,Speech pathologist,"1410 N Hill Field Rd #3, Layton, UT 84041",1410 N Hill Field Rd #3,Layton,UT,84041,41.080275,-111.973124,🆕 Newly geocoded,,,,,,Summit Speech Therapy,Speech pathologist,,
Mountainside Speech & Reading,"1190 E 5425 S, South Ogden, UT 84403",(801) 822-1450,https://mountainsidespeech.com/,,801) 822-1450,Speech pathologist,"1190 E 5425 S, South Ogden, UT 84403",1190 E 5425 S,South Ogden,UT,84403,41.16508,-111.950652,🆕 Newly geocoded,,,,,,Mountainside Speech & Reading,Speech pathologist,,
Summit Speech Therapy,"4650 Royal Vista Cir, Windsor, CO 80528",(970) 900-6930,http://www.summitspeechteam.com/,,970) 900-6930,Speech pathologist,"4650 Royal Vista Cir, Windsor, CO 80528",4650 Royal Vista Cir,Windsor,CO,80528,40.478804,-104.98987,🆕 Newly geocoded,,,,,,Summit Speech Therapy,Speech pathologist,,
Boulder Speech Therapy,"5070 Ingersoll Pl, Boulder, CO 80303",(401) 996-8883,https://www.boulderspeechtherapy.com/,,401) 996-8883,Speech pathologist,"5070 Ingersoll Pl, Boulder, CO 80303",5070 Ingersoll Pl,Boulder,CO,80303,40.010675,-105.231517,🆕 Newly geocoded,,,,,,Boulder Speech Therapy,Speech pathologist,,
Denver Speech & Language,"3535 W 44th Ave, Denver, CO 80211",(303) 996-6510,http://www.denverspeechandlanguage.com/,,303) 996-6510,Speech pathologist,"3535 W 44th Ave, Denver, CO 80211",3535 W 44th Ave,Denver,CO,80211,39.776935,-105.034084,🆕 Newly geocoded,,,,,,Denver Speech & Language,Speech pathologist,,
Flagstaff Speech Solutions,"1600 W University Ave #104, Flagstaff, AZ 86001",(928) 228-5463,https://flagstaffspeechsolutions.com/,,928) 228-5463,Speech pathologist,"1600 W University Ave #104, Flagstaff, AZ 86001",1600 W University Ave #104,Flagstaff,AZ,86001,35.18413,-111.675043,🆕 Newly geocoded,,,,,,Flagstaff Speech Solutions,Speech pathologist,,
Colorado Springs Therapy Center South,"2776 Janitell Rd, Colorado Springs, CO 80906",(719) 332-4689,https://cstherapycenter.com/,,719) 332-4689,Speech pathologist,"2776 Janitell Rd, Colorado Springs, CO 80906",2776 Janitell Rd,Colorado Springs,CO,80906,38.794063,-104.790217,🆕 Newly geocoded,,,,,,Colorado Springs Therapy Center South,Speech pathologist,,
Speak For Yourself,"17393 Drake St, Broomfield, CO 80023",(720) 240-9387,http://www.speakforyourselfspeech.com/,,720) 240-9387,Speech pathologist,"17393 Drake St, Broomfield, CO 80023",17393 Drake St,Broomfield,CO,17393,40.011442,-104.989221,🆕 Newly geocoded,,,,,,Speak For Yourself,Speech pathologist,,
Cheryl Rowan Speech Therapy,"400 McCaslin Blvd #109, Louisville, CO 80027",(818) 427-3600,http://www.cherylrowan.com/,,818) 427-3600,Speech pathologist,"400 McCaslin Blvd #109, Louisville, CO 80027",400 McCaslin Blvd #109,Louisville,CO,80027,39.964814,-105.162822,🆕 Newly geocoded,,,,,,Cheryl Rowan Speech Therapy,Speech pathologist,,
Pediatric Speech and Language Center,"1817 Austin Bluffs Pkwy ste 110, Colorado Springs, CO 80918",(719) 377-2523,http://www.coloradospringsspeech.com/,,719) 377-2523,Medical clinic,"1817 Austin Bluffs Pkwy ste 110, Colorado Springs, CO 80918",1817 Austin Bluffs Pkwy ste 110,Colorado Springs,CO,80918,38.88835,-104.79435,🆕 Newly geocoded,,,,,,Pediatric Speech and Language Center,Medical clinic,,
"Cobblestone Speech, Language & Learning","7761 Shaffer Pkwy Ste 140, Littleton, CO 80127",(303) 952-9038,http://www.cobblestonespeech.com/,,303) 952-9038,Speech pathologist,"7761 Shaffer Pkwy Ste 140, Littleton, CO 80127",7761 Shaffer Pkwy Ste 140,Littleton,CO,80127,39.574245,-105.135212,🆕 Newly geocoded,,,,,,"Cobblestone Speech, Language & Learning",Speech pathologist,,
Amazing Care Pediatric Outpatient Therapy formerly Straka Pediatric Therapies,"815 S Perry St #200, Castle Rock, CO 80104",(720) 398-8806,https://www.amazingcareoutpatient.com/,,720) 398-8806,Speech pathologist,"815 S Perry St #200, Castle Rock, CO 80104",815 S Perry St #200,Castle Rock,CO,80104,39.363115,-104.862744,🆕 Newly geocoded,,,,,,Amazing Care Pediatric Outpatient Therapy formerly Straka Pediatric Therapies,Speech pathologist,,
Albuquerque Speech Language Hearing Center,"9500 Montgomery Blvd NE Ste 215, Albuquerque, NM 87111",(505) 247-4224,http://aslhc.org/?utm_source=GMBlisting&utm_medium=organic,,505) 247-4224,Speech pathologist,"9500 Montgomery Blvd NE Ste 215, Albuquerque, NM 87111",9500 Montgomery Blvd NE Ste 215,Albuquerque,NE,87111,35.130253,-106.536581,🆕 Newly geocoded,,,,,,Albuquerque Speech Language Hearing Center,Speech pathologist,,
Summit Creek Speech & Language,"25 E Center St, Smithfield, UT 84335",(435) 757-3689,https://sites.google.com/summitcreekslp.com/contactus/home,,435) 757-3689,Speech pathologist,"25 E Center St, Smithfield, UT 84335",25 E Center St,Smithfield,UT,84335,41.836848,-111.831721,🆕 Newly geocoded,,,,,,Summit Creek Speech & Language,Speech pathologist,,
